epoch,train_loss,valid_loss,HitRate@5,HitRate@10,NDCG@5,NDCG@10,MRR@10
1,7.064543961185228,6.193724603795293,0.3316878232251998,0.39492242595204513,0.2485660692682581,0.2690956606650812,0.22946470548727432
2,4.764194783422874,5.297214212702282,0.414727315467795,0.5061706629055007,0.30657612507926246,0.336221479247574,0.28302053249602444
3,4.076623325968737,5.044668162046974,0.43970380818053595,0.5357310766337565,0.3263244068856082,0.35743183533514905,0.30158797788822234
4,3.7450043685181877,4.9649548459408885,0.4559238363892807,0.5504818993888105,0.33994860147151207,0.3707077527764809,0.31430521040887444
5,3.543193111367941,4.964073092190187,0.4603314527503526,0.5546544428772919,0.3452253347723589,0.3759694884976679,0.31980689509779425
6,3.3929786307040004,4.99573056021733,0.46838269863657733,0.5597085096379878,0.35092529604609674,0.38069925491519946,0.32440114719292873
7,3.2814389439215494,5.025792730388357,0.46703102961918197,0.5590620592383639,0.351787767311551,0.38169748244374613,0.32599250658576934
8,3.183295590105798,5.064697016530962,0.470322049835449,0.5582393041842971,0.3551774915679144,0.38380347538640225,0.32890759677166265
9,3.1012268764847657,5.11320228363151,0.4689703808180536,0.5594146685472496,0.35416372252039,0.38362857684393753,0.3283722929306476
10,3.031528941545952,5.167702283432234,0.4674424071462153,0.5528913963328632,0.3536016028598061,0.3813786636167437,0.3273552762665917
11,2.963333967150228,5.221046038527987,0.4666784203102962,0.5538316878232252,0.35395160150688243,0.3822759936262662,0.3282908103297703
12,2.903873265975207,5.267587498052796,0.4666784203102962,0.5513634226610249,0.35416767837543817,0.3816555274889558,0.3281930731860182
13,2.851530750233269,5.318199253793972,0.46274094969440527,0.5479548660084627,0.35371144096177626,0.38130924894603896,0.3289245276154631
14,2.8006005584654714,5.385371788224178,0.46062529384109074,0.5433709449929478,0.34992729202692746,0.3768559881268875,0.3243664692800772
15,2.7572555541992188,5.411155127767307,0.45997884344146683,0.5461330512458862,0.35192973740917616,0.3799282406397684,0.32765676655397874
