epoch,train_loss,valid_loss,HitRate@5,HitRate@10,NDCG@5,NDCG@10,MRR@10
1,7.096007729094024,6.246671890144918,0.3236953455571227,0.3942172073342736,0.2419050353239775,0.26495361528276934,0.2243393706017131
2,4.8716236462860385,5.4459273601645855,0.4012106252938411,0.4959449929478138,0.2888410309772283,0.31966313688459574,0.2644640245222051
3,4.282621688480619,5.236566070300429,0.41754818993888104,0.5228608368594264,0.2961663048261077,0.3304350433183098,0.27023718572995675
4,4.026042328605169,5.176094172605827,0.4261283497884344,0.5360249177244946,0.30043824859595064,0.33616008074685383,0.2736554671233793
5,3.878667481769058,5.192167516964585,0.42577574047954864,0.5397273154677951,0.29953600873512304,0.33669974726598567,0.2733112066327856
6,3.7760005721563026,5.239741158129564,0.4248942172073343,0.5361424541607899,0.30023226212279236,0.33637250807576774,0.27399315117051354
7,3.698506291908554,5.245888948440552,0.4256582040432534,0.5386107193229901,0.30245944882348086,0.339146007883826,0.2769568883814296
8,3.638279637203941,5.291267953701873,0.4229548660084626,0.5346144804889515,0.3014649765602111,0.33785548067178195,0.2764705347348145
9,3.5829034890662914,5.312414016296614,0.42524682651622003,0.5373178185237424,0.30016371035588485,0.33665714181959844,0.2739973955418236
10,3.537830990003203,5.346281112130009,0.4248354489891866,0.5327926657263752,0.30073277011799554,0.3358866811831263,0.2743544591085137
11,3.5032894710520077,5.353539445506993,0.4244240714621533,0.5303831687823225,0.3029681472675635,0.3374544453596058,0.2770940142237724
12,3.463259597799015,5.380096599237243,0.42548189938881054,0.5316173013634227,0.3025100834248563,0.3370937077605055,0.2762397295542561
13,3.4360638052817927,5.417273528540313,0.42042783262811473,0.5286201222378938,0.2992203903830377,0.33442838338464037,0.27376929556495916
14,3.4020871266749624,5.430696170721481,0.4210742830277386,0.5283262811471556,0.2999540356940972,0.33470119828618766,0.274278596801516
