model,seed,max_history,Coverage,HitRate@5,NDCG@5,HitRate@10,NDCG@10,MRR@10,best_epoch,best_valid_loss,trained_epochs,stopped_early,train_time,seconds_per_epoch
GRU,42,10,0.9296739069428074,0.37599613619898575,0.2776423662330444,0.4611808741849795,0.3052718960714419,0.25651216254029696,7,5.716153797350432,12,True,217.863,18.155
GRU,42,20,0.9296739069428074,0.3935643564356436,0.28936310316270003,0.48092248249215164,0.3176700737772493,0.2665628365972492,12,5.546832113337696,17,True,312.122,18.36
GRU,42,50,0.9296739069428074,0.39259840618208164,0.28980269318695656,0.474643805843999,0.31646449183793884,0.2667026502301799,17,5.4781958572846605,22,True,461.395,20.972
