model,seed,Coverage,HitRate@5,NDCG@5,HitRate@10,NDCG@10,MRR@10,train_time
GRU,42,0.9296739069428074,0.3935643564356436,0.28936310316270003,0.48092248249215164,0.3176700737772493,0.2665628365972492,315.699
GRU+Hour,42,0.9296739069428074,0.4160226998309587,0.32564919417093197,0.48484665539724703,0.3480327458904796,0.3048845411544629,461.645
GRU+TimeSlot,42,0.9296739069428074,0.4158415841584158,0.3167163730216874,0.49112533204539965,0.34116135119629915,0.29391039278143677,307.44
GRU+Hour+Weekday,42,0.9296739069428074,0.41873943491910165,0.32991353758621444,0.4864766964501328,0.35196347570493947,0.3095885416067723,353.896
