epoch,train_loss,valid_loss,HitRate@5,HitRate@10,NDCG@5,NDCG@10,MRR@10
1,7.113778132426588,6.2368715200851215,0.3259285378467325,0.394158439116126,0.24290132534252923,0.26502447905543275,0.2244931940806425
2,4.875604328583205,5.426238095582421,0.40209214856605546,0.4961212976022567,0.2919375411597131,0.3223577570796125,0.2679830047910091
3,4.269096722439012,5.259719635123637,0.4151386929948284,0.5169840150446638,0.29813056394694276,0.33110286494894253,0.272942296139581
4,3.9890700986113727,5.217946871003108,0.42642219087917255,0.5285613540197461,0.30543055571232447,0.33853584596969977,0.2790655246975756
5,3.8171781514911065,5.234017788474239,0.42348377997179126,0.5286201222378938,0.30430778548811316,0.33846687201458053,0.27895524100566366
6,3.687536663862508,5.25750830280247,0.42718617771509165,0.5329102021626704,0.3058596411438037,0.34018650025750247,0.2799362271550199
7,3.590839863254623,5.302399083749572,0.4263634226610249,0.5299717912552891,0.3065883639272168,0.34033389218051996,0.2809826046074276
8,3.506304434798725,5.338536760700283,0.42571697226140104,0.529677950164551,0.3087286073951582,0.3424971505528453,0.28404582801620787
9,3.437770105831015,5.394025450322165,0.42595204513399154,0.5281499764927128,0.3047304287103582,0.3379848139562476,0.2784711028275897
10,3.3745987553277454,5.440310214882467,0.4234250117536436,0.5260343206393983,0.3052794205527,0.3386026609635203,0.27997218770755306
11,3.320071121236515,5.496031277215303,0.4215444287729196,0.5219205453690644,0.30446711493437223,0.33714311204971903,0.2792801219767006
12,3.2686766327828654,5.557961097404139,0.421955806299953,0.5227433004231312,0.30447095492542336,0.3371883231988129,0.2791346239953429
13,3.225714313617451,5.598917936211202,0.4178420310296192,0.5192759755524212,0.3007352897502615,0.33385595361465037,0.27577630017686305
14,3.184844455494803,5.636709843108903,0.41848848142924305,0.5176304654442877,0.301375995332363,0.3335774482736975,0.27602261363721103
