epoch,train_loss,valid_loss,HitRate@5,HitRate@10,NDCG@5,NDCG@10,MRR@10
1,7.105221735417951,6.217369527959112,0.3244005641748942,0.3969205453690644,0.2428437323369199,0.2663650775370832,0.2254578324042381
2,4.854938405331824,5.414258679347252,0.40814527503526093,0.5033497884344147,0.2938598135949078,0.32460538410117573,0.26869251442153375
3,4.254447638234006,5.229209497793397,0.4185472496473907,0.5244475787494123,0.30133816271841674,0.3357367117492961,0.27670301900732003
4,3.985053603515487,5.1893314425625015,0.4280089327691584,0.5340855665256229,0.3046147850822848,0.3389960806685947,0.2780001175364354
5,3.822243711185283,5.208637678801124,0.4258345086976963,0.5364950634696756,0.30420512156857904,0.34023877406901554,0.2789584825859493
6,3.7030395452627007,5.252536809266503,0.4317700987306065,0.5367301363422661,0.30699957071255307,0.3411410236733812,0.27998275199438666
7,3.6123208796999555,5.284889648209757,0.43006582040432534,0.5370827456511519,0.3080437951169136,0.34287677690968127,0.28220691916478163
8,3.534543641437027,5.326089271858557,0.4301833568406206,0.5328514339445228,0.3096840904131718,0.34309507289357166,0.2837370616637178
9,3.4683657597891893,5.391971000984533,0.4284790785143394,0.5319111424541608,0.30537294467521214,0.33896319705817446,0.27858036040775663
10,3.4101788290586006,5.433687081977503,0.42624588622472964,0.5316173013634227,0.30649386970347586,0.3408380407472958,0.28121716442414313
11,3.361194824008355,5.4669559108677195,0.42554066760695813,0.5303244005641748,0.3060751045958578,0.34019457166202494,0.28074020902828933
12,3.3116540533724574,5.519626763329577,0.4245416078984485,0.5265044663845793,0.30426285564940686,0.337472356852749,0.2782552229087839
13,3.2749684676123785,5.571558877603332,0.42166196520921484,0.5240949694405266,0.3024526938176914,0.33579441489677514,0.27687839083290355
14,3.2356187400507452,5.614980181651329,0.42136812411847674,0.5206276445698167,0.299567868106971,0.331816202946604,0.272701999425377
15,3.2032911191150464,5.658221992094125,0.41507992477668076,0.5228020686412788,0.2988625735475302,0.33388945917421786,0.2749541747822769
16,3.1738137233106394,5.710492461474974,0.4176657263751763,0.5207451810061119,0.3008037841305429,0.33433166815959087,0.2761287695614199
17,3.1407673863347143,5.766272541302354,0.4113187588152327,0.5132228490832158,0.29407308673286126,0.3272046771619344,0.2690500677233754
18,3.113904763733931,5.792472899849735,0.415197461212976,0.5125176304654443,0.297696373949186,0.3292661832624107,0.2718723647584718
