epoch,train_loss,valid_loss,HitRate@5,HitRate@10,NDCG@5,NDCG@10,MRR@10
1,7.147150417348575,6.259990229535458,0.3248119417019276,0.39245416078984485,0.24238018446176005,0.26434462983781293,0.22411838344490126
2,4.890483956224879,5.432763177957108,0.40138692994828395,0.49582745651151855,0.29014201194547734,0.32091425737879853,0.26606608812620847
3,4.287312999556336,5.235724456274688,0.4179007992477668,0.5209214856605547,0.2975240806114975,0.33094337267538604,0.27148796930619873
4,4.018222929125022,5.184156894683838,0.4255994358251058,0.5333215796897038,0.30223413672261673,0.3373967369994028,0.27608973067365117
5,3.8618592711512476,5.20717445416237,0.4263046544428773,0.5336741889985895,0.30184509854419717,0.33691401974288804,0.2753258604413387
6,3.7512231024005747,5.2419565186571715,0.4277738598965679,0.5339680300893277,0.30255572551144305,0.33714064750493533,0.27554948283968006
7,3.669886785217478,5.260120149868638,0.4273037141513869,0.5352021626704279,0.30444481339114066,0.3395723230900778,0.278374321833419
8,3.605129133728055,5.274290668430613,0.42759755524212506,0.5368476727785614,0.3067002046141996,0.34215004173207153,0.28137887030693737
9,3.5454945154690183,5.323706651801493,0.4270686412787964,0.534379407616361,0.30333637374645994,0.33821690445379526,0.27690348392922387
10,3.4980060528242998,5.361917990357129,0.4231311706629055,0.5294428772919605,0.302554917284553,0.3372136621033387,0.2770860618577457
11,3.4529236604680205,5.374664940051178,0.4234250117536436,0.5294428772919605,0.30376393454166567,0.33817470824674106,0.2784043822434157
12,3.4169647219383696,5.421638047517235,0.42301363422661026,0.5283262811471556,0.30307402809187123,0.33730261432779846,0.27760112331251247
13,3.3787054554247726,5.449385041621194,0.4174306535025858,0.5251527973671838,0.3002305851865821,0.33530926413071,0.27601748307848384
14,3.3438517495477824,5.484254107546451,0.41637282557592853,0.5221556182416549,0.2988505532795018,0.33323856124242396,0.2742900705964868
